iteration,LB,UB,gap,n_cuts
1,29.13605070697305,inf,inf,8
2,29.13605070697305,inf,inf,12
3,29.591359472181374,inf,inf,13
4,29.591359472181374,inf,inf,20
5,30.09030705137164,inf,inf,20
6,30.09030705137164,inf,inf,25
7,30.115161707777766,inf,inf,26
8,30.115161707777766,inf,inf,30
9,30.53218415666668,inf,inf,33
10,30.53218415666668,inf,inf,34
11,30.598757252697272,inf,inf,37
12,30.598757252697272,inf,inf,41
13,30.688290173667838,inf,inf,41
14,30.688290173667838,inf,inf,49
15,30.97340957302621,inf,inf,50
16,30.97340957302621,inf,inf,51
17,31.203529605517716,inf,inf,52
18,31.203529605517716,inf,inf,57
19,31.253051550000016,inf,inf,60
20,31.253051550000016,inf,inf,61
21,31.467106183333357,inf,inf,64
22,31.467106183333357,inf,inf,65
23,31.67275512169901,inf,inf,69
24,31.67275512169901,inf,inf,73
25,31.855244168802507,inf,inf,74
26,31.855244168802507,inf,inf,75
27,32.003072743333334,inf,inf,83
28,32.003072743333334,inf,inf,84
29,32.206472549999994,inf,inf,85
30,32.206472549999994,inf,inf,86
31,32.48079041,inf,inf,86
32,32.48079041,inf,inf,86
33,32.50990849449565,inf,inf,86
34,32.50990849449565,inf,inf,87
35,32.723018090986656,inf,inf,88
36,32.723018090986656,inf,inf,95
37,32.75162016999999,inf,inf,96
38,32.75162016999999,inf,inf,97
39,32.92607105000001,inf,inf,98
40,32.92607105000001,inf,inf,99
41,33.00866294777774,inf,inf,101
42,33.00866294777774,inf,inf,102
43,33.011457863333334,inf,inf,103
44,33.011457863333334,inf,inf,104
45,33.131218045111126,inf,inf,105
46,33.131218045111126,inf,inf,106
47,33.14215789016065,inf,inf,107
48,33.14215789016065,inf,inf,108
49,33.15899007666667,inf,inf,109
50,33.15899007666667,inf,inf,110
51,33.18452274333335,inf,inf,111
52,33.18452274333335,inf,inf,112
53,33.40628112784404,inf,inf,113
54,33.40628112784404,inf,inf,118
55,33.54933425000001,inf,inf,119
56,33.54933425000001,inf,inf,120
57,33.6776827674026,inf,inf,121
58,33.6776827674026,inf,inf,123
59,33.721221169999964,inf,inf,123
60,33.721221169999964,inf,inf,124
61,33.81234275666667,inf,inf,125
62,33.81234275666667,inf,inf,126
63,33.930318823333316,inf,inf,127
64,33.930318823333316,inf,inf,128
65,33.99232244620367,inf,inf,129
66,33.99232244620367,inf,inf,131
67,34.02070853000001,inf,inf,132
68,34.02070853000001,inf,inf,133
69,34.07912519666668,inf,inf,134
70,34.07912519666668,inf,inf,135
71,34.14316311666664,inf,inf,140
72,34.14316311666664,inf,inf,145
73,34.14593167666666,inf,inf,147
